Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language,Date
EWROON,526660590,101235,21341,5172,514693,232079,13289271,TRUE,FALSE,Polish,2015-02-08 23:24
ludwig,525883695,94575,60346,5368,542580,505089,8508355,TRUE,FALSE,English,2013-03-03 7:40
RduLIVE,525737445,127380,11854,3953,234884,62490,7653194,TRUE,FALSE,English,2014-03-31 11:57
Hiko,523057245,79665,41644,5268,1001350,479830,11106951,TRUE,FALSE,English,2011-12-23 17:36
FENGRUSH,521568750,100605,16128,4985,95643,23288,44675247,TRUE,FALSE,English,2015-06-23 14:29
Chess,521511525,96315,83666,5767,326118,181232,84500786,TRUE,FALSE,English,2009-08-06 19:59
72hrs,519458565,136515,30702,3756,1024814,315190,12051692,TRUE,FALSE,English,2015-09-04 15:30
TwitchRivals,516113670,36555,109148,14509,999480,644684,71159574,TRUE,FALSE,English,2018-02-23 2:49
a541021,516009420,166575,8337,3105,207369,18023,18201933,TRUE,FALSE,Chinese,2011-10-03 16:33
hashinshin,515812965,192255,12540,2483,570621,159892,11386166,TRUE,FALSE,English,2012-03-26 4:43
JoshOG,510984165,159300,85051,2957,1748928,120782,20688501,TRUE,FALSE,English,2014-01-10 0:12
B0aty,510323715,151215,22375,3152,516113,49577,8448691,TRUE,TRUE,English,2011-12-30 0:47
AustinShow,509643945,21000,72199,24739,840624,378656,11648873,TRUE,TRUE,English,2013-02-10 5:02
39daph,509052375,135495,12648,3766,505362,470589,8983449,TRUE,FALSE,English,2017-06-17 12:43
scump,506838930,71355,79976,6789,893010,275270,8661072,TRUE,FALSE,English,2010-06-17 23:09
flurry1989,505333050,128790,12084,3859,169505,51935,10969148,TRUE,FALSE,Korean,2015-05-31 17:11
Kyle,501208575,161295,9339,3059,182260,60506,5692219,TRUE,TRUE,English,2017-04-24 9:24
SummonersInnLive,499421415,64875,110095,6328,503346,46779,13724263,TRUE,FALSE,German,2013-02-15 10:30
Aydan,495563580,140595,51268,3507,1701314,425036,11009240,TRUE,TRUE,English,2016-03-29 16:07
Faker,492835710,17115,56325,29414,2716270,750480,26508938,TRUE,FALSE,Korean,2007-07-17 3:22
Mongraal,492733995,27060,89706,18180,2951980,1454481,19515587,TRUE,FALSE,English,2016-09-01 18:17
2chamcham2,490230510,95055,16243,5107,489270,144698,13076008,TRUE,FALSE,Korean,2016-09-04 14:06
EmadGG,487281450,132630,67732,2741,702744,623391,9556065,TRUE,FALSE,English,2017-04-25 6:46
pacific8815,483895050,120435,20936,3992,171858,54326,14452008,TRUE,FALSE,Korean,2015-02-05 11:27
FolagorLives,482387190,79995,57813,5032,786983,417899,9640983,TRUE,FALSE,Spanish,2012-05-27 19:37
lilypichu,477949200,56280,33075,8407,1363222,657630,14729189,TRUE,FALSE,English,2012-06-06 23:27
mistermv,476597370,71655,39961,6627,479900,150486,12959273,TRUE,TRUE,French,2012-02-27 22:58
Bonjwa,473157810,251250,11063,1802,123954,20250,14247514,TRUE,FALSE,German,2014-10-20 16:47
KingGeorge,472786395,160140,12621,2914,767727,250434,6445996,TRUE,FALSE,English,2016-02-29 19:15
KingRichard,472405995,137175,17327,3312,1536757,109795,9570639,TRUE,FALSE,English,2014-07-19 5:06
melharucos,468792120,130275,13825,3519,328473,59167,17845821,TRUE,TRUE,Russian,2011-12-16 13:56
INSCOPE21TV,468467130,59925,51244,7554,658658,491663,10630158,TRUE,TRUE,German,2012-12-02 19:36
JohnPitterTV,461605275,508965,4148,900,286184,211365,19054606,TRUE,FALSE,Portuguese,2012-12-29 1:49
Zizaran,460519830,156195,20745,2552,267004,47149,16917944,TRUE,FALSE,English,2012-09-27 13:28
imls,460332570,78945,32758,5621,392024,177673,8610645,TRUE,FALSE,English,2011-12-02 19:14
TSM_ImperialHal,459076530,120975,23107,3550,302593,287810,8907366,TRUE,FALSE,English,2017-02-04 18:58
jdm2088,458883255,32625,65622,15405,276488,132821,5377506,TRUE,FALSE,Korean,2016-10-28 12:21
Ramee,457242510,159825,10845,2825,132642,74094,6606894,TRUE,FALSE,English,2015-07-11 19:34
Towelliee,453487500,183090,15495,2392,705098,21398,17009119,TRUE,FALSE,English,2011-02-24 1:38
SPYGEA,452479680,143730,17228,3131,222046,92067,10569192,TRUE,FALSE,Japanese,2010-03-09 6:47
FollowGrubby,451910415,132015,15296,3365,430649,46282,12249560,TRUE,FALSE,English,2011-03-09 9:38
Amar,449223195,100800,45549,4207,604374,281928,11787544,TRUE,FALSE,German,2014-08-01 22:06
mch_AGG,443328990,499575,11191,884,219431,124548,11142208,TRUE,TRUE,Portuguese,2014-11-25 1:29
IWillDominate,442870530,93480,23813,4591,797244,79514,8695968,TRUE,FALSE,English,2011-10-23 13:43
Nadeshot,440331540,50175,40327,7985,1472104,428800,7844647,TRUE,TRUE,English,2011-03-14 19:59
buddha,438460680,135090,11971,3184,247303,24901,6326808,TRUE,TRUE,English,2016-10-10 14:54
Deadlyslob,438143850,119085,104568,3088,315637,130944,6321235,TRUE,FALSE,English,2010-05-22 16:29
failverde,437353350,184845,14610,2348,169973,29861,13001718,TRUE,FALSE,Chinese,2011-08-04 7:43
zrush,436243530,137910,10628,3084,180412,49296,13297850,TRUE,TRUE,Chinese,2010-08-27 7:52
HoneyMad,434971635,67995,21369,6394,533250,74407,14755893,TRUE,TRUE,Russian,2013-02-13 21:52
ESAMarathon,433329345,301395,22132,1460,244440,35038,32500708,TRUE,FALSE,English,2014-01-10 17:44
